COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
1001,0.053,0.074,0.127,0.134,0.295,0.444,0.739,AL
1003,0.083,0.059,0.142,0.098,0.323,0.436,0.759,AL
1005,0.067,0.121,0.188,0.12,0.201,0.491,0.692,AL
1007,0.02,0.034,0.054,0.096,0.278,0.572,0.85,AL
1009,0.053,0.114,0.167,0.18,0.194,0.459,0.653,AL
1011,0.031,0.04,0.071,0.144,0.286,0.5,0.786,AL
1013,0.102,0.053,0.155,0.257,0.137,0.451,0.588,AL
1015,0.152,0.108,0.26,0.13,0.167,0.442,0.609,AL
1017,0.117,0.037,0.154,0.15,0.136,0.56,0.696,AL
1019,0.135,0.027,0.162,0.161,0.158,0.52,0.678,AL
1021,0.06,0.07,0.13,0.058,0.194,0.618,0.812,AL
1023,0.049,0.038,0.087,0.126,0.219,0.568,0.787,AL
1025,0.049,0.088,0.137,0.164,0.268,0.43,0.698,AL
1027,0.148,0.158,0.306,0.195,0.169,0.329,0.498,AL
1029,0.151,0.125,0.276,0.138,0.217,0.368,0.585,AL
1031,0.101,0.152,0.253,0.094,0.186,0.466,0.652,AL
1033,0.082,0.096,0.178,0.152,0.159,0.51,0.669,AL
1035,0.099,0.052,0.151,0.259,0.192,0.399,0.591,AL
1037,0.055,0.131,0.186,0.167,0.263,0.384,0.647,AL
1039,0.187,0.128,0.315,0.129,0.201,0.356,0.557,AL
1041,0.06,0.091,0.151,0.199,0.233,0.416,0.649,AL
1043,0.13,0.024,0.154,0.249,0.217,0.379,0.596,AL
1045,0.089,0.113,0.202,0.118,0.22,0.46,0.68,AL
1047,0.095,0.1,0.195,0.159,0.122,0.524,0.646,AL
1049,0.084,0.051,0.135,0.106,0.179,0.58,0.759,AL
1051,0.042,0.095,0.137,0.127,0.252,0.485,0.737,AL
1053,0.114,0.026,0.14,0.188,0.285,0.387,0.672,AL
1055,0.096,0.103,0.199,0.178,0.122,0.501,0.623,AL
1057,0.138,0.048,0.186,0.151,0.233,0.429,0.662,AL
1059,0.065,0.071,0.136,0.223,0.156,0.484,0.64,AL
1061,0.176,0.131,0.307,0.089,0.158,0.445,0.603,AL
1063,0.03,0.053,0.083,0.127,0.167,0.623,0.79,AL
1065,0.026,0.061,0.087,0.084,0.191,0.639,0.83,AL
1067,0.066,0.068,0.134,0.17,0.258,0.438,0.696,AL
1069,0.085,0.079,0.164,0.135,0.268,0.433,0.701,AL
1071,0.092,0.089,0.181,0.11,0.249,0.46,0.709,AL
1073,0.049,0.037,0.086,0.107,0.179,0.628,0.807,AL
1075,0.107,0.045,0.152,0.132,0.189,0.527,0.716,AL
1077,0.093,0.119,0.212,0.141,0.179,0.469,0.648,AL
1079,0.162,0.08,0.242,0.088,0.251,0.419,0.67,AL
1081,0.053,0.064,0.117,0.138,0.183,0.562,0.745,AL
1083,0.102,0.034,0.136,0.133,0.336,0.395,0.731,AL
1085,0.12,0.073,0.193,0.145,0.199,0.464,0.663,AL
1087,0.008,0.033,0.041,0.241,0.172,0.545,0.717,AL
1089,0.062,0.05,0.112,0.123,0.177,0.589,0.766,AL
1091,0.033,0.151,0.184,0.118,0.186,0.512,0.698,AL
1093,0.129,0.064,0.193,0.246,0.207,0.353,0.56,AL
1095,0.075,0.064,0.139,0.129,0.253,0.479,0.732,AL
1097,0.077,0.07,0.147,0.102,0.244,0.506,0.75,AL
1099,0.112,0.041,0.153,0.182,0.288,0.378,0.666,AL
1101,0.056,0.095,0.151,0.123,0.212,0.513,0.725,AL
1103,0.078,0.077,0.155,0.082,0.304,0.459,0.763,AL
1105,0.025,0.084,0.109,0.087,0.187,0.618,0.805,AL
1107,0.031,0.06,0.091,0.169,0.157,0.584,0.741,AL
1109,0.06,0.131,0.191,0.145,0.333,0.33,0.663,AL
1111,0.158,0.226,0.384,0.105,0.144,0.368,0.512,AL
1113,0.069,0.067,0.136,0.08,0.213,0.57,0.783,AL
1115,0.027,0.134,0.161,0.144,0.2,0.495,0.695,AL
1117,0.022,0.075,0.097,0.118,0.24,0.545,0.785,AL
1119,0.055,0.068,0.123,0.118,0.197,0.562,0.759,AL
1121,0.113,0.15,0.263,0.208,0.169,0.361,0.53,AL
1123,0.067,0.095,0.162,0.136,0.296,0.406,0.702,AL
1125,0.041,0.036,0.077,0.144,0.247,0.532,0.779,AL
1127,0.09,0.081,0.171,0.145,0.256,0.429,0.685,AL
1129,0.018,0.077,0.095,0.102,0.307,0.495,0.802,AL
1131,0.061,0.098,0.159,0.199,0.187,0.455,0.642,AL
1133,0.13,0.046,0.176,0.328,0.183,0.312,0.495,AL
2013,0.067,0.032,0.099,0.034,0.316,0.551,0.867,AL
MAX,0.187,0.226,0.384,0.328,0.336,0.639,0.867,AL
MIN,0.008,0.024,0.041,0.034,0.122,0.312,0.495,AL
AVERAGE,0.082884058,0.082478261,0.161720588,0.144955882,0.216823529,0.476426471,0.6929,AL
2016,0.078,0.031,0.109,0.03,0.337,0.524,0.861,AK
2020,0.042,0.05,0.092,0.049,0.196,0.663,0.859,AK
2050,0.101,0.022,0.123,0.014,0.45,0.413,0.863,AK
2060,0.048,0.037,0.085,0.042,0.308,0.564,0.872,AK
2068,0.062,0.081,0.143,0.067,0.225,0.565,0.79,AK
2070,0.072,0.025,0.097,0.027,0.391,0.484,0.875,AK
2090,0.094,0.084,0.178,0.175,0.234,0.413,0.647,AK
2100,0.055,0.05,0.105,0.123,0.419,0.352,0.771,AK
2105,0.051,0.064,0.115,0.13,0.399,0.356,0.755,AK
2110,0.051,0.067,0.118,0.133,0.396,0.353,0.749,AK
2122,0.043,0.047,0.09,0.051,0.197,0.662,0.859,AK
2130,0.025,0.149,0.174,0.174,0.256,0.396,0.652,AK
2150,0.042,0.043,0.085,0.049,0.233,0.633,0.866,AK
2158,0.103,0.022,0.125,0.007,0.521,0.347,0.868,AK
2164,0.055,0.036,0.091,0.04,0.299,0.571,0.87,AK
2170,0.042,0.051,0.093,0.048,0.198,0.66,0.858,AK
2180,0.086,0.061,0.147,0.009,0.544,0.3,0.844,AK
2185,0.036,0.059,0.095,0.235,0.215,0.455,0.67,AK
2188,0.035,0.188,0.223,0.051,0.474,0.252,0.726,AK
2195,0.042,0.095,0.137,0.148,0.349,0.365,0.714,AK
2198,0.033,0.125,0.158,0.161,0.3,0.38,0.68,AK
2220,0.048,0.077,0.125,0.137,0.381,0.357,0.738,AK
2230,0.058,0.038,0.096,0.116,0.435,0.354,0.789,AK
2240,0.064,0.071,0.135,0.14,0.272,0.453,0.725,AK
2261,0.04,0.049,0.089,0.052,0.197,0.663,0.86,AK
2275,0.035,0.119,0.154,0.16,0.312,0.374,0.686,AK
2282,0.047,0.012,0.059,0.078,0.381,0.481,0.862,AK
MAX,0.188,0.223,0.235,0.544,0.663,0.875,0.875,AK
MIN,0.025,0.012,0.059,0.007,0.196,0.252,0.647,AK
AVERAGE,0.055111111,0.064925926,0.120037037,0.090592593,0.330333333,0.458888889,0.789222222,AK
2290,0.044,0.047,0.091,0.126,0.425,0.358,0.783,AZ
4001,0.055,0.063,0.118,0.031,0.15,0.701,0.851,AZ
4003,0.053,0.025,0.078,0.147,0.194,0.581,0.775,AZ
4005,0.039,0.08,0.119,0.07,0.11,0.702,0.812,AZ
4007,0.073,0.014,0.087,0.03,0.336,0.547,0.883,AZ
4009,0.095,0.067,0.162,0.237,0.049,0.553,0.602,AZ
4011,0.111,0.089,0.2,0.167,0.089,0.544,0.633,AZ
4012,0.031,0.064,0.095,0.162,0.173,0.57,0.743,AZ
4013,0.023,0.025,0.048,0.059,0.158,0.734,0.892,AZ
4015,0.051,0.096,0.147,0.104,0.164,0.585,0.749,AZ
4017,0.091,0.108,0.199,0.059,0.139,0.602,0.741,AZ
4019,0.023,0.024,0.047,0.073,0.121,0.759,0.88,AZ
4021,0.033,0.055,0.088,0.096,0.148,0.667,0.815,AZ
4023,0.028,0.002,0.03,0.058,0.074,0.837,0.911,AZ
4025,0.031,0.073,0.104,0.081,0.176,0.639,0.815,AZ
MAX,0.111,0.108,0.2,0.237,0.425,0.837,0.911,AZ
MIN,0.023,0.002,0.03,0.03,0.049,0.358,0.602,AZ
AVERAGE,0.052066667,0.055466667,0.107533333,0.1,0.167066667,0.625266667,0.792333333,AZ
4027,0.008,0.013,0.021,0.046,0.129,0.804,0.933,AR
5001,0.019,0.073,0.092,0.134,0.216,0.557,0.773,AR
5003,0.023,0.103,0.126,0.163,0.117,0.595,0.712,AR
5005,0.15,0.104,0.254,0.108,0.104,0.534,0.638,AR
5007,0.081,0.034,0.115,0.083,0.16,0.643,0.803,AR
5009,0.129,0.145,0.274,0.122,0.189,0.416,0.605,AR
5011,0.094,0.102,0.196,0.175,0.184,0.445,0.629,AR
5013,0.145,0.132,0.277,0.108,0.211,0.404,0.615,AR
5015,0.111,0.068,0.179,0.115,0.129,0.577,0.706,AR
5017,0.104,0.074,0.178,0.193,0.097,0.531,0.628,AR
5019,0.08,0.091,0.171,0.08,0.231,0.518,0.749,AR
5021,0.082,0.124,0.206,0.157,0.242,0.395,0.637,AR
5023,0.036,0.065,0.101,0.093,0.259,0.546,0.805,AR
5025,0.107,0.03,0.137,0.16,0.231,0.472,0.703,AR
5027,0.241,0.072,0.313,0.054,0.25,0.383,0.633,AR
5029,0.071,0.12,0.191,0.137,0.347,0.325,0.672,AR
5031,0.078,0.123,0.201,0.138,0.341,0.32,0.661,AR
5033,0.155,0.1,0.255,0.167,0.211,0.367,0.578,AR
5035,0.059,0.017,0.076,0.11,0.306,0.508,0.814,AR
5037,0.097,0.017,0.114,0.163,0.319,0.404,0.723,AR
5039,0.197,0.055,0.252,0.093,0.196,0.459,0.655,AR
5041,0.078,0.033,0.111,0.19,0.189,0.509,0.698,AR
5043,0.063,0.049,0.112,0.207,0.159,0.523,0.682,AR
5045,0.066,0.027,0.093,0.077,0.403,0.426,0.829,AR
5047,0.149,0.079,0.228,0.245,0.187,0.34,0.527,AR
5049,0.105,0.121,0.226,0.226,0.197,0.351,0.548,AR
5051,0.025,0.102,0.127,0.068,0.21,0.596,0.806,AR
5053,0.082,0.043,0.125,0.127,0.258,0.489,0.747,AR
5055,0.062,0.141,0.203,0.154,0.346,0.297,0.643,AR
5057,0.098,0.073,0.171,0.096,0.179,0.554,0.733,AR
5059,0.059,0.086,0.145,0.079,0.216,0.56,0.776,AR
5061,0.081,0.07,0.151,0.145,0.145,0.56,0.705,AR
5063,0.137,0.156,0.293,0.088,0.179,0.44,0.619,AR
5065,0.086,0.121,0.207,0.133,0.23,0.43,0.66,AR
5067,0.116,0.103,0.219,0.135,0.179,0.468,0.647,AR
5069,0.042,0.036,0.078,0.172,0.173,0.577,0.75,AR
5071,0.144,0.103,0.247,0.205,0.221,0.328,0.549,AR
5073,0.12,0.082,0.202,0.078,0.234,0.486,0.72,AR
5075,0.085,0.128,0.213,0.153,0.298,0.337,0.635,AR
5077,0.103,0.032,0.135,0.195,0.263,0.407,0.67,AR
5079,0.035,0.016,0.051,0.194,0.201,0.554,0.755,AR
5081,0.074,0.121,0.195,0.106,0.201,0.499,0.7,AR
5083,0.148,0.11,0.258,0.12,0.143,0.479,0.622,AR
5085,0.048,0.045,0.093,0.136,0.297,0.474,0.771,AR
5087,0.075,0.088,0.163,0.159,0.114,0.564,0.678,AR
5089,0.171,0.112,0.283,0.119,0.108,0.49,0.598,AR
5091,0.064,0.124,0.188,0.106,0.219,0.487,0.706,AR
5093,0.033,0.109,0.142,0.134,0.284,0.44,0.724,AR
5095,0.068,0.128,0.196,0.127,0.271,0.406,0.677,AR
5097,0.081,0.095,0.176,0.136,0.166,0.521,0.687,AR
5099,0.143,0.048,0.191,0.084,0.224,0.501,0.725,AR
5101,0.107,0.14,0.247,0.084,0.261,0.408,0.669,AR
5103,0.151,0.097,0.248,0.06,0.242,0.449,0.691,AR
5105,0.098,0.051,0.149,0.08,0.367,0.404,0.771,AR
5107,0.052,0.061,0.113,0.134,0.276,0.477,0.753,AR
5109,0.064,0.061,0.125,0.2,0.176,0.501,0.677,AR
5111,0.077,0.098,0.175,0.141,0.287,0.397,0.684,AR
5113,0.18,0.08,0.26,0.217,0.076,0.446,0.522,AR
5115,0.082,0.151,0.233,0.181,0.285,0.302,0.587,AR
5117,0.062,0.17,0.232,0.103,0.273,0.391,0.664,AR
5119,0.028,0.027,0.055,0.126,0.175,0.644,0.819,AR
5121,0.051,0.145,0.196,0.203,0.289,0.311,0.6,AR
5123,0.087,0.007,0.094,0.289,0.267,0.35,0.617,AR
5125,0.066,0.044,0.11,0.154,0.212,0.524,0.736,AR
5127,0.155,0.14,0.295,0.124,0.123,0.458,0.581,AR
5129,0.1,0.088,0.188,0.125,0.149,0.538,0.687,AR
5131,0.121,0.142,0.263,0.157,0.208,0.372,0.58,AR
5133,0.12,0.093,0.213,0.155,0.165,0.467,0.632,AR
5135,0.067,0.158,0.225,0.22,0.222,0.333,0.555,AR
5137,0.067,0.092,0.159,0.11,0.234,0.498,0.732,AR
5139,0.116,0.179,0.295,0.098,0.262,0.344,0.606,AR
5141,0.033,0.06,0.093,0.096,0.272,0.539,0.811,AR
5143,0.034,0.028,0.062,0.101,0.186,0.651,0.837,AR
5145,0.026,0.054,0.08,0.152,0.277,0.491,0.768,AR
5147,0.059,0.048,0.107,0.208,0.231,0.454,0.685,AR
5149,0.116,0.1,0.216,0.112,0.198,0.474,0.672,AR
MIN,0.008,0.007,0.021,0.046,0.076,0.297,0.933,AR
MAX,0.241,0.179,0.313,0.289,0.403,0.804,0.522,AR
AVERAGE,0.089828947,0.086276316,0.176105263,0.137144737,0.219421053,0.467355263,0.686776316,AR
6001,0.019,0.008,0.027,0.055,0.123,0.795,0.918,CA
6003,0.025,0.085,0.11,0.088,0.19,0.612,0.802,CA
6005,0.045,0.013,0.058,0.099,0.188,0.655,0.843,CA
6007,0.015,0.043,0.058,0.111,0.204,0.626,0.83,CA
6009,0.045,0.019,0.064,0.098,0.276,0.562,0.838,CA
6011,0.027,0.031,0.058,0.092,0.151,0.7,0.851,CA
6013,0.018,0.016,0.034,0.039,0.121,0.806,0.927,CA
6015,0.01,0.135,0.145,0.112,0.196,0.547,0.743,CA
6017,0.028,0.042,0.07,0.072,0.183,0.675,0.858,CA
6019,0.021,0.022,0.043,0.059,0.156,0.741,0.897,CA
6021,0.028,0.026,0.054,0.146,0.206,0.594,0.8,CA
6023,0.042,0.006,0.048,0.018,0.069,0.865,0.934,CA
6025,0.001,0.005,0.006,0.03,0.128,0.836,0.964,CA
6027,0.033,0.011,0.044,0.008,0.058,0.889,0.947,CA
6029,0.022,0.028,0.05,0.105,0.177,0.668,0.845,CA
6031,0.075,0.016,0.091,0.049,0.094,0.766,0.86,CA
6033,0.003,0.004,0.007,0.007,0.136,0.849,0.985,CA
6035,0.064,0.068,0.132,0.162,0.225,0.482,0.707,CA
6037,0.021,0.013,0.034,0.049,0.131,0.786,0.917,CA
6039,0.019,0.059,0.078,0.048,0.124,0.751,0.875,CA
6041,0.011,0,0.011,0.046,0.141,0.802,0.943,CA
6043,0.01,0.094,0.104,0.049,0.186,0.661,0.847,CA
6045,0.002,0.003,0.005,0.004,0.222,0.77,0.992,CA
6047,0.026,0.036,0.062,0.089,0.146,0.703,0.849,CA
6049,0.068,0.019,0.087,0.095,0.204,0.615,0.819,CA
6051,0.011,0.026,0.037,0.012,0.07,0.88,0.95,CA
6053,0.023,0.006,0.029,0.066,0.141,0.763,0.904,CA
6055,0.017,0.026,0.043,0.033,0.149,0.773,0.922,CA
6057,0.003,0.054,0.057,0.084,0.177,0.682,0.859,CA
6059,0.023,0.021,0.044,0.046,0.156,0.754,0.91,CA
6061,0.012,0.023,0.035,0.072,0.201,0.693,0.894,CA
6063,0.063,0.067,0.13,0.053,0.146,0.671,0.817,CA
6065,0.026,0.014,0.04,0.041,0.116,0.803,0.919,CA
6067,0.025,0.028,0.053,0.062,0.164,0.722,0.886,CA
6069,0.018,0.004,0.022,0.063,0.175,0.739,0.914,CA
6071,0.027,0.022,0.049,0.048,0.134,0.768,0.902,CA
6073,0.017,0.023,0.04,0.034,0.126,0.8,0.926,CA
6075,0.017,0.011,0.028,0.035,0.121,0.817,0.938,CA
6077,0.054,0.019,0.073,0.081,0.165,0.68,0.845,CA
6079,0.025,0.024,0.049,0.037,0.169,0.745,0.914,CA
6081,0.016,0.013,0.029,0.058,0.126,0.786,0.912,CA
6083,0.015,0.02,0.035,0.075,0.153,0.737,0.89,CA
6085,0.015,0.014,0.029,0.04,0.168,0.764,0.932,CA
6087,0.008,0,0.008,0.086,0.109,0.797,0.906,CA
6089,0.095,0.056,0.151,0.071,0.232,0.547,0.779,CA
6091,0.14,0.053,0.193,0.047,0.143,0.617,0.76,CA
6093,0.132,0.074,0.206,0.082,0.167,0.546,0.713,CA
6095,0.043,0.046,0.089,0.035,0.148,0.728,0.876,CA
6097,0.022,0.012,0.034,0.022,0.149,0.795,0.944,CA
6099,0.032,0.028,0.06,0.062,0.173,0.705,0.878,CA
6101,0.058,0.031,0.089,0.08,0.163,0.669,0.832,CA
6103,0.057,0.062,0.119,0.141,0.195,0.545,0.74,CA
6105,0.081,0.07,0.151,0.055,0.201,0.592,0.793,CA
6107,0.025,0.039,0.064,0.115,0.136,0.685,0.821,CA
6109,0.008,0.043,0.051,0.084,0.212,0.653,0.865,CA
6111,0.024,0.011,0.035,0.033,0.156,0.777,0.933,CA
6113,0.007,0.005,0.012,0.04,0.156,0.791,0.947,CA
6115,0.057,0.035,0.092,0.071,0.167,0.669,0.836,CA
MAX,0.14,0.135,0.206,0.162,0.276,0.889,0.992,CA
MIN,0.001,0,0.005,0.004,0.058,0.482,0.707,CA
AVERAGE,0.032310345,0.030724138,0.063034483,0.063689655,0.158603448,0.714637931,0.873241379,CA
8001,0.032,0.027,0.059,0.071,0.185,0.685,0.87,CO
8003,0.052,0.133,0.185,0.094,0.228,0.493,0.721,CO
8005,0.013,0.026,0.039,0.065,0.193,0.703,0.896,CO
8007,0.041,0.041,0.082,0.155,0.276,0.488,0.764,CO
8009,0.113,0.053,0.166,0.194,0.206,0.435,0.641,CO
8011,0.033,0.036,0.069,0.172,0.191,0.567,0.758,CO
8013,0.008,0.015,0.023,0.032,0.195,0.75,0.945,CO
8014,0.018,0.005,0.023,0.042,0.201,0.734,0.935,CO
8015,0.038,0.045,0.083,0.134,0.138,0.645,0.783,CO
8017,0.016,0.187,0.203,0.106,0.398,0.292,0.69,CO
8019,0.002,0.015,0.017,0.138,0.123,0.723,0.846,CO
8021,0.06,0.106,0.166,0.093,0.195,0.545,0.74,CO
8023,0.034,0.072,0.106,0.076,0.175,0.644,0.819,CO
